stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
68052,902513,PEACHTREE RD NW@PHARR RD NE,0 PEACHTREE & PHARR,33.836533,-84.381439,,,,
68056,902514,15TH ST NE@LOMBARDY WAY NE,,33.788318,-84.386119,,,,
68057,902515,15TH ST NE@PEACHTREE ST NE,0 15TH & PEACHTREE,33.78821,-84.384148,,,,
68058,902516,PEACHTREE ST NE@15TH ST NE,0 PEACHTREE & 15TH,33.788898,-84.384048,,,,
68060,902489,PEACHTREE ST NE@16TH ST NE,0 PEACHTREE & 16TH,33.790215,-84.384773,,,,
68062,902490,PEACHTREE ST NE@17TH ST NE,0 PEACHTREE & 17TH,33.792347,-84.386177,,,,
68064,902491,PEACHTREE ST NE@W PEACHTREE ST NW,0 PEACHTREE ST NE & W PEACHTREE ST NE,33.794458,-84.387505,,,,
68066,902492,PEACHTREE ST NW@PEACHTREE CIR NE,0 PEACHTREE & PEACHTREE,33.795544,-84.387627,,,,
68067,902517,PEACHTREE ST NE@SPRING ST NW,0 PEACHTREE & SPRING,33.797304,-84.388911,,,,
68068,902518,PEACHTREE ST NE@SPRING ST,0 PEACHTREE ST NW & US-19,33.797965,-84.390358,,,,
68070,902573,PEACHTREE RD NW@DEERING RD,0 PEACHTREE & DEERING,33.79963,-84.39233,,,,
68072,902574,PEACHTREE RD NW@25TH ST NW,0 PEACHTREE & 25TH,33.801308,-84.392715,,,,
68074,902548,PEACHTREE RD NW@HUNTINGTON RD NE,0 PEACHTREE & HUNTINGTON,33.802181,-84.392693,,,,
68075,902549,PEACHTREE RD@PALISADES RD,0 PEACHTREE & PALISADES,33.804575,-84.393291,,,,
68076,902550,PEACHTREE RD NW@COLLIER RD NW,0 PEACHTREE & COLLIER,33.806362,-84.393829,,,,
68078,902551,PEACHTREE RD NW@BRIGHTON RD NE,0 PEACHTREE & BRIGHTON,33.80809,-84.393478,,,,
68079,902575,PEACHTREE RD NW@PEACHTREE VALLEY RD,0 PEACHTREE & PEACHTREE VALLEY,33.808834,-84.393194,,,,
68080,902576,PEACHTREE RD NW@PEACHTREE VALLEY RD,0 PEACHTREE & PEACHTREE VALLEY,33.809818,-84.392792,,,,
68084,902577,PEACHTREE RD NW@PEACHTREE PARK DR N,0 PEACHTREE & PEACHTREE PARK,33.81205,-84.392128,,,,
68088,902578,BELLEMEADE AVE NW@TALLULAH ST NW,0 BELLEMEADE & TALLULAH,33.800129,-84.411469,,,,
