stop_id,stop_code,stop_name,stop_lat,stop_lon
133024,133024,FAIRINGTON RD@HILLANDALE DR,33.703941,-84.145889
138094,138094,JOYLAND ST SW@BOOKER ST SW,33.71212,-84.39764
138106,138106,JONESBORO RD@LAKEWOOD AVE,33.707535,-84.38015
138350,138350,METROPOLITAN PKY SW@STEVE DR SW,33.675796,-84.40845
99970343,210001,S STONE MNT LITHONIA RD @ WELLS CIR,33.780879,-84.161423
139012,139012,BROWNS MILL RD SE@ADELLE ST SE,33.700588,-84.376038
139014,139014,BROWNS MILL RD SE@2039,33.69847,-84.3749
128018,128018,ROLLINGWOOD LN SE@FLINTWOOD DR,33.70998,-84.312332
99970346,210003,S STONE MTN LITHONIA RD @ SHADOW RK,33.771734,-84.16303
122232,122232,CASCADE AVE SW@1120,33.725174,-84.447176
122234,122234,CASCADE AVE SW@1155,33.723957,-84.449219
122238,122238,CASCADE AVE SW@CASCADE CIR SW,33.723446,-84.450089
111020,111020,STONE MOUNTAIN LITHO RD@2399,33.736045,-84.116627
159364,159364,JONESBORO RD@CONLEY RD,33.64929,-84.36574
159370,159370,CLEVELAND AVE SW@72,33.68129,-84.39094
176002,176002,WASHINGTON RD@CARMEL DR,33.639038,-84.491898
176004,176004,WASHINGTON RD@SPANISH TRL,33.633644,-84.492561
176006,176006,WASHINGTON RD@4555,33.632595,-84.492561
176010,176010,WASHINGTON RD@HATHCOCK RD,33.626907,-84.492203
99970585,210375,E LAKE DR@2ND AVE,33.759879,-84.310329
99970588,210376,E LAKE DR@3RD AVE,33.759646,-84.30835
99970589,210377,E LAKE DR@OAKVIEW RD,33.759511,-84.303534
151138,151138,REBEL FOREST DR SE@NATHAM DR SE,33.687351,-84.357299
158252,158252,CENTRAL AVE@LAVISTA DR,33.65489,-84.40198
158282,158282,WILLINGHAM DR @ BACHELOR AVE,33.666288,-84.430785
159382,159382,ZIP INDUSTRIAL BLVD@3675,33.656252,-84.386809
159384,159384,OLD HAPEVILLE RD@CLEVELAND AVE,33.679839,-84.393117
159390,159390,BROWNS MILL RD@OAK DR,33.667715,-84.380405
159392,159392,CLEVELAND AVE@445,33.680699,-84.375078
99970713,210482,S INDIAN CREEK DR@INDIAN CREEK CIR,33.750783,-84.220374
99970818,210589,BROWNS MILL RD@ SPRINGSIDE DR,33.676312,-84.384272
176036,176036,ROOSEVELT HWY@MILLER RD,33.622224,-84.49773
176038,176038,ROOSEVELT@STANSELL RD,33.622491,-84.494702
151176,151176,ISA DR@PHILLIPS DR,33.700285,-84.354022
151178,151178,ISA DR@AKRON DR,33.700243,-84.352756
158303,158303,METROPOLITAN PKWY@OLD JONESBORO RD,33.67696,-84.40864
158306,158306,CLEVELAND AVE SW@SPRINGDALE RD SW,33.681389,-84.414536
109038,109038,HAIRSTON RD@BIG VALLEY RD,33.741003,-84.195957
115006,115006,PRYOR ST SW@GLENN ST SW,33.738018,-84.394943
115016,115016,PRYOR ST SW @ DOANE ST SW,33.730912,-84.393095
115018,115018,PRYOR ST SW@DOANE ST SW,33.731134,-84.39275
115038,115038,COOPER ST SW@BASS ST SW,33.73577,-84.39719
115040,115040,COOPER ST SW@LOVE ST SW,33.734595,-84.397312
118036,118036,FULTON INDUSTRIAL BLVD@6095,33.713367,-84.58845
122130,122130,ALISON CT@PLAZA LN SW,33.700378,-84.453201
122132,122132,ALISON CT@1935,33.699852,-84.451515
109012,109012,COVINGTON HWY@HAIRSTON RD,33.730289,-84.193184
109014,109014,COVINGTON HWY@HIDDEN CHASE,33.728175,-84.189072
109015,109015,COVINGTON HWY@HIDDEN CREEK DR,33.727361,-84.186858
109016,109016,COVINGTON HWY@HIDDEN CHASE,33.728367,-84.188797
109026,109026,HAIRSTON RD@WHITE OAK TRL,33.751067,-84.19737
109028,109028,S HAIRSTON RD @ BISHOP MING BLVD,33.73758,-84.194371
109030,109030,S HAIRSTON RD@WOODWAY DR,33.737235,-84.193899
109032,109032,HAIRSTON RD@MERCER RD,33.753111,-84.197321
115024,115024,CENTRAL AVE SW@GLENN ST SW,33.738284,-84.393333
115034,115034,WINDSOR ST SW@RICHARDSON ST SW,33.740773,-84.398288
115036,115036,WINDSOR ST SW@CRUMLEY ST SW,33.73951,-84.39844
118040,118040,FULTON IND BLVD @ TRADEWATER PKY,33.710708,-84.591185
118050,118050,FULTON INDUSTRIAL BLVD@PLUMMER RD,33.720752,-84.585061
118052,118052,FULTON INDUSTRIAL BLVD@BOAT ROCK R,33.725821,-84.582613
118086,118086,BOAT ROCK RD @ BAKERS FERRY RD,33.723636,-84.570266
122146,122146,STANTON RD@PHILLIPS CT,33.703854,-84.44471
122150,122150,STANTON RD@LAKE AVE SW,33.705906,-84.443756
122152,122152,STANTON RD@LESLIE AVE,33.707214,-84.443726
118090,118090,FULTON INDUSTRIAL BLVD@RIVERSIDE D,33.712143,-84.589746
122140,122140,STANTON RD@FORT VALLEY DR,33.702141,-84.446875
122142,122142,STANTON RD@MCCLELLAND AVE,33.702557,-84.446198
122144,122144,STANTON RD@HAWTHORNE TRL,33.703577,-84.444992
122154,122154,STANTON RD@MARCEL AVE,33.708378,-84.44371
122156,122156,STANTON RD@1600,33.709278,-84.443565
122158,122158,STANTON RD@CAMPBELLTON RD,33.710693,-84.44355
122160,122160,CASCADE AVE SW@1154,33.723618,-84.449188
122174,122174,VENETIAN DR SW@ALDER LN SW,33.714737,-84.448578
109040,109040,HAIRSTON RD@BIG VALLEY RD,33.74068,-84.195397
109042,109042,HAIRSTON RD@BIRCH RIDGE TRL,33.74792,-84.196685
109044,109044,HAIRSTON RD@BIRCH RIDGE TRL,33.748276,-84.197165
110002,110002,STONE MOUNTAIN LITHO RD@SHADOW ROC,33.74622,-84.138809
110004,110004,STONE MOUNTAIN LITHO RD@WELLBORN R,33.746738,-84.140968
110006,110006,REDAN RD@DUREN FARMS DR,33.747307,-84.14546
111022,111022,STONE MOUNTAIN LITHO RD@2399,33.736365,-84.116209
111030,111030,STONE MOUNTAIN LITHO RD@LITHONIA IN,33.73502,-84.11556
112174,112174,OAK ST SW@ASHBY ST SW,33.740563,-84.417895
113004,113004,OGLETHORPE AVE SW@GORDON PL SW,33.736003,-84.418995
